"","OrganizationFormalName","ProviderName"
"1","USGS California Water Science Center","NWIS"
"2","USGS Idaho Water Science Center","NWIS"
"3","USGS Oregon Water Science Center","NWIS"
"4","USGS Washington Water Science Center","NWIS"
"5","Bureau of Reclamation","STORET"
"6","National Park Service Water Resources Division","STORET"
"7","Nevada Division of Environmental Protection","STORET"
"8","Oregon Department of Human Services","STORET"
"9","Adventure Scientists(Volunteer)*","STORET"
"10","Applegate Partnership & Watershed Council (Volunteer)","STORET"
"11","Burns Paiute Tribe (Tribal)","STORET"
"12","Cow Creek Band of Umpqua Tribe of Indians (Tribal)","STORET"
"13","California State Water Resources Control Board","STORET"
"14","Clackamas Soil and Water Conservation District(Volunteer)*","STORET"
"15","Calapooia Watershed Council","STORET"
"16","Columbia Soil and Water Conservation District","STORET"
"17","Coos Watershed Association (Volunteer)","STORET"
"18","Coquille Indian Tribe (Tribal)","STORET"
"19","Coquille Watershed Association","STORET"
"20","Clackamas River Basin Council(Volunteer)*","STORET"
"21","Columbia Riverkeeper","STORET"
"22","Confed Tribes of Coos, Lower Umpqua & Siuslaw Indians (OR)","STORET"
"23","Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians (Tribal)","STORET"
"24","Confederated Tribes of the Grand Ronde Community of Oregon (Tribal)","STORET"
"25","Confederated Tribes of Siletz Indians of Oregon (Tribal)","STORET"
"26","Confederated Tribes of the Umatilla Indian Reservation (Tribal)","STORET"
"27","Curry Watershed Partnerships","STORET"
"28","East Multnomah Soil and Water Conservation District","STORET"
"29","Florence, Oregon SEP","STORET"
"30","Glenn and Gibson Creek Watershed Council (Volunteer)","STORET"
"31","Gilliam Soil and Water Conservation District","STORET"
"32","Hyla Woods","STORET"
"33","Idaho Department Of Environmental Quality DEQ","STORET"
"34","Izaak Walton League of America","STORET"
"35","Klamath Tribes (Tribal)","STORET"
"36","Long Tom Watershed Council","STORET"
"37","Lincoln Soil and Water Conservation District","STORET"
"38","Malheur Watershed Council (Volunteer)","STORET"
"39","Middle Deschutes Watershed Council","STORET"
"40","North American Lake Management Society","STORET"
"41","EPA National Aquatic Resource Survey Data","STORET"
"42","EPA National Aquatic Resources Survey (NARS)","STORET"
"43","Nez Perce Tribe (Tribal)","STORET"
"44","State of Oregon Dept. of Environmental Quality","STORET"
"45","USEPA, Office of Water, Office of Science and Technology, Standards and Health Protection Division","STORET"
"46","Testing Account For USEPA, Office of Water, Office of Science and Technology, Standards and Health Protection Division","STORET"
"47","Partnership for the Umpqua Rivers","STORET"
"48","EPA Region 10 Black Butte Mine CERCLIS ID:OR0000515759 Site Number:10EK","STORET"
"49","EPA Region 10 Elkhead Mine, Douglas County, OR","STORET"
"50","EPA Region 10 Superfund Portland Harbor Site","STORET"
"51","Rogue River Watershed Council","STORET"
"52","Rogue Valley Council of Governments(Volunteer)*","STORET"
"53","Scappoose Bay Watershed Council(Volunteer)*","STORET"
"54","Siuslaw Watershed Council","STORET"
"55","South Santiam Watershed Council","STORET"
"56","Siuslaw Soil and Water Conservation District (Volunteer)","STORET"
"57","Tillamook Estuaries Partnership","STORET"
"58","Bureau of Land Management, Tillamook Field Office (OR/WA)","STORET"
"59","Upper Deschutes Watershed Council (Oregon)","STORET"
"60","Umatilla National Forest (Washington and Oregon)","STORET"
"61","Salmon Drift Creek Watershed Council","STORET"
"62","Walla Walla Basin Watershed Council","STORET"
"63","Confederated Tribes of the Warm Springs Reservation of Oregon (Tribal)","STORET"
"64","USGS Texas Water Science Center","NWIS"
"65","Washington State Department of Ecology (BEACH)","STORET"
"66","Bunker Hill Mining and Metallurgical Complex (Region 10) USGS","STORET"
"67","Coeur D'Alene Tribe (Tribal)","STORET"
"68","U.S. Army Corps of Engineers Walla Walla District","STORET"
"69","Confederated Tribes of the Chehalis Reservation (Tribal)","STORET"
"70","Clallam County-DCD","STORET"
"71","Clallam County Environmental Health Services","STORET"
"72","Lower Elwha Klallam Tribe","STORET"
"73","Colville Confederated Tribes (Washington)","STORET"
"74","Confederated Tribes of the Colville Reservation (Tribal)","STORET"
"75","Hooper Lab, Dept. of Biology, Western Washington","STORET"
"76","Jefferson County Public Health","STORET"
"77","Jamestown SKlallam Tribe","STORET"
"78","Jamestown Sklallam Tribe","STORET"
"79","King County (Washington)","STORET"
"80","Kitsap County Health District","STORET"
"81","Kalispel Indian Community of the Kalispel Reservation (Tribal)","STORET"
"82","LummiNation (Washington)","STORET"
"83","Lummi Tribe of the Lummi Reservation (Tribal)","STORET"
"84","Makah Tribe (Washington)","STORET"
"85","Makah Indian Tribe of the Makah Indian Reservation (Tribal) (BEACH)","STORET"
"86","Midnite Mine Environmental Data","STORET"
"87","Muckleshoot Indian Tribe (Tribal)","STORET"
"88","Nisqually Indian Tribe (Tribal)","STORET"
"89","Nooksack Indian Tribe","STORET"
"90","Nooksack Indian Tribe (Tribal)","STORET"
"91","Nooksack Salmon Enhancement Association(Volunteer)*","STORET"
"92","Palermo Wellfield Superfund Site by Geoengineers Inc.(Volunteer)*","STORET"
"93","Port Gamble S'Klallam Tribe (Tribal)","STORET"
"94","Puyallup Tribe Of Indians (Washington)","STORET"
"95","Puyallup Tribe of Indians (Tribal)","STORET"
"96","Quinault Indian Nation (Tribal)","STORET"
"97","Quileute Natural Resources (Washington)","STORET"
"98","EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex","STORET"
"99","EPA Region 10 Superfund Lower Duwamish Waterway Site","STORET"
"100","EPA Region 10 Superfund Midnite Mine Site","STORET"
"101","EPA Region 10 Superfund Sumas Mountain Asbestos Site","STORET"
"102","EPA Region 10 Superfund Historical Data","STORET"
"103","Samish Indian Nation","STORET"
"104","Shoaltwater Bay Tribe (Washington)","STORET"
"105","Shoaltwater Bay Tribe (Washington) (Tribal)","STORET"
"106","Seattle River","STORET"
"107","Skagit County","STORET"
"108","Skagit River Watershed Grant (TNC, SRSC, WWAA)  - Washington (Tribal)","STORET"
"109","Skokomish Natural Resources Department (WA)","STORET"
"110","Skokomish Indian Tribe of the Skokomish Reservation, Washington (Tribal)","STORET"
"111","Snoqualmie Tribe Environmental & Natural Res Dep(Washington)","STORET"
"112","Snoqualmie Tribe","STORET"
"113","Squaxin Island Tribe (Tribal)","STORET"
"114","Spokane Tribe of the Spokane Reservation (Tribal)","STORET"
"115","Suquamish Tribe (Tribal)","STORET"
"116","Swinomish Indian Tribal Community (Tribal)","STORET"
"117","Thurston County Environmental Health","STORET"
"118","Thurston County Health Department","STORET"
"119","Tacoma-Pierce County Health Department (Washington)","STORET"
"120","Tulalip Tribes of Washington (Tribal)","STORET"
"121","Upper Skagit Indian Tribe (Tribal)","STORET"
"122","University of Washington Tacoma at Center for Urban Waters","STORET"
"123","Washington Department Of Ecology","STORET"
"124","STILLAGUAMISH TRIBE OF INDIANS (Tribal)","STORET"
"125","Whatcom County Public Works","STORET"
"126","Washington State Department of Agriculture, Dairy Nutrient Management Program","STORET"
"127","Confederated Tribes and Bands of the Yakama Nation (Tribal)","STORET"
"128","USGS Utah Water Science Center","NWIS"
"129","USGS Wyoming Water Science Center","NWIS"
"130","Bunker Hill Mining and Metallurgical Complex","STORET"
"131","CDA TRUST","STORET"
"132","Test Organization (Volunteer) (Volunteer)","STORET"
"133","Idaho Department of Fish and Game","STORET"
"134","Idaho State Department Of Agriculture","STORET"
"135","J.R. Simplot and FMC Corporation","STORET"
"136","Massachusetts Water Resources Research Center","STORET"
